key,name,future_heatwave_days_per_yr,future_max_summer_tmax,future_annual_rain_mm,future_r95p_mm_per_yr,future_rx1day_mm,future_p95,baseline_heatwave_days_per_yr,baseline_max_summer_tmax,baseline_annual_rain_mm,baseline_r95p_mm_per_yr,baseline_rx1day_mm,baseline_p95,delta_d_heatwave,delta_d_maxTmax,delta_d_annualRain,delta_d_r95p,delta_d_rx1day,delta_d_p95
bhopal,Bhopal,45.89284013896496,48.221135711669945,1230.118792149177,198.81446503983756,152.5803985595703,47.60193634033203,37.84607047508215,47.66478118896487,1167.9405305122834,189.77889606486727,342.4818420410156,45.812469482421875,8.046769663882806,0.5563545227050781,62.17826163689347,9.035568974970289,-189.9014434814453,1.7894668579101562
indore,Indore,43.15502156352684,47.38860855102541,1074.4968359615345,177.2720687967633,99.15985107421875,44.499454498291016,33.203863636363636,46.914346313476585,985.324748072534,155.86243819602666,93.02845764160156,42.19393539428711,9.951157927163202,0.4742622375488281,89.17208788900052,21.409630600736648,6.1313934326171875,2.3055191040039062
jabalpur,Jabalpur,48.71816889717962,49.44798431396487,1268.797770673123,182.03829270724302,88.04878234863281,37.08883285522461,41.53816675794086,48.20370254516604,1245.4313984021092,178.45143080862493,124.24925994873047,37.36277389526367,7.180002139238766,1.2442817687988281,23.366372271013915,3.586861898618082,-36.200477600097656,-0.2739410400390625
rewa,Rewa,51.412232381229465,48.538159942626976,1027.7401643662497,176.54855727142467,170.4453125,35.29867935180664,45.33860898138007,48.37156257629397,1045.0937749376608,171.8545190674147,143.0220832824707,36.132917404174805,6.073623399849396,0.16659736633300784,-17.353610571411195,4.69403820400997,27.4232292175293,-0.8342380523681641
sidhi,Sidhi,49.00570235487404,49.138406372070335,1049.1161070730006,176.41189903416415,162.71315002441406,34.52311706542969,43.01333841046002,49.23089752197268,1055.7044607562912,166.73242639913383,92.38455200195312,34.802791595458984,5.992363944414016,-0.09249114990234375,-6.5883536832905065,9.679472635030322,70.32859802246094,-0.2796745300292969
