key,name,ndvi_mean
bhopal,Bhopal,0.32016261928380263
indore,Indore,0.28974438336826824
jabalpur,Jabalpur,0.4491843362277874
rewa,Rewa,0.42575427017919976
sidhi,Sidhi,0.4809739266753019
